sorted,word,full text,candidates
"(vignette_E, vignette_F);(vignette_F, vigne_OF)",vignette,"1751, ""decorative design,"" originally a design in the form of vine tendrils around the borders of a book page, especially a picture page, from French vignette, from Old French diminutive of vigne ""vineyard"" (see vine). Sense transferred from the border to the picture itself, then (1853) to a type of small photographic portrait with blurred edges very popular mid-19c. Meaning ""literary sketch"" is first recorded 1880, probably from the photographic sense.","vignette,vigne,vine"
"(virtual_E, virtualis_MediL);(virtualis_MediL, virtus_L)",virtual,"late 14c., ""influencing by physical virtues or capabilities, effective with respect to inherent natural qualities,"" from Medieval Latin virtualis, from Latin virtus ""excellence, potency, efficacy,"" literally ""manliness, manhood"" (see virtue). The meaning ""being something in essence or effect, though not actually or in fact"" is from mid-15c., probably via sense of ""capable of producing a certain effect"" (early 15c.). Computer sense of ""not physically existing but made to appear by software"" is attested from 1959.","virtualis,virtus,virtue"
"(visceral_E, viscéral_F);(viscéral_F, visceralis_MediL);(visceralis_MediL, viscus_L);(viscus_L, viscera_L);(viscera_L, viscus_L)",visceral,"1570s, ""affecting inward feelings,"" from Middle French viscéral and directly from Medieval Latin visceralis ""internal,"" from Latin viscera, plural of viscus ""internal organ, inner parts of the body,"" of unknown origin. The bowels were regarded as the seat of emotion. The figurative sense vanished after 1640 and the literal sense is first recorded in 1794. The figurative sense was revived 1940s in arts criticism.","viscéral,visceralis,viscera,viscus"
"(violate_E, violatus_L);(violatus_L, violare_L)",violate,"early 15c., ""to break"" (an oath, etc.), from Latin violatus, past participle of violare ""treat with violence, dishonor, outrage"" (see violation). Sense of ""ravish"" is first recorded mid-15c. Related: Violated; violating.","violatus,violare,violation,Violated,violating"
(Velox_E),Velox,"type of photographic print paper made by a process patented 1893 by Leo Baekeland, who sold it to George Eastman in 1899 for $1 million and used the money to build the laboratory where he made great discoveries in plastics (see Bakelite).",Bakelite
"(vast_E, vaste_F);(vaste_F, vastus_L)",vast,"1570s, ""being of great extent or size,"" from Middle French vaste, from Latin vastus ""immense, extensive, huge,"" also ""desolate, unoccupied, empty."" The two meanings probably originally attached to two separate words, one with a long -a- one with a short -a-, that merged in early Latin (see waste (v.)). Meaning ""very great in quantity or number"" is from 1630s; that of ""very great in degree"" is from 1670s. Very popular early 18c. as an intensifier. Related: Vastly; vastness; vasty.","vaste,vastus,-a-,-a-,waste,Vastly,vastness,vasty"
"(west_E, west_OE);(west_OE, *west-_PGer);(*west-_PGer, *wes-pero-_PIE);(*wes-pero-_PIE, *wes-_PIE)",west,"Old English west (adv.) ""in or toward the west, in a westerly direction,"" from Proto-Germanic *west- (source also of Old Norse vestr, Old Frisian, Middle Dutch, Dutch west, Old High German -west, only in compounds, German west), which is of uncertain origin. Perhaps from PIE *wes-, reduced form of *wes-pero- ""evening, night"" (source also of Greek hesperos, Latin vesper ""evening, west;"" see vesper). Compare also High German dialectal abend ""west,"" literally ""evening."" French ouest, Spanish oeste are from English.
As an adjective from late 14c.; as a noun from late 12c. West used in geopolitical sense from World War I (Britain, France, Italy, as opposed to Germany and Austria-Hungary); as contrast to Communist Russia (later to the Soviet bloc) it is first recorded in 1918. West Coast of the U.S. is from 1850; West End of London is from 1776; West Side of Manhattan is from, 1858. The U.S. West ""western states and territories"" originally (1790s) meant those just west of the Alleghenies; the sense gradually extended as the country grew. To go west ""die"" was ""common during the Great War"" [OED, 2nd ed.], perhaps from Celtic imagery or from the notion of the setting sun. In U.S. use, in a literal sense ""emigrate to the western states or territories,"" from 1830.","west,*west-,vestr,west,-west,west,*wes-,*wes-pero-,hesperos,vesper,vesper,abend,ouest,oeste,West,West Coast,West End,West Side,West,go west"
"(wampum_E, wampumpeag_Algo);(wampumpeag_Algo, wab_Algo, ompe_Algo, -ag_Algo)",wampum,"string of seashell beads used as money by Native Americans, 1630s, shortened from New England Algonquian wampumpeag (1620s), ""string of white (shell beads);"" said to be compounded from wab ""white"" + ompe ""string"" + plural suffix -ag.","wampumpeag,wab,ompe,-ag"
"(wildness_E, wild (adj.)_E, -ness_E)",wildness,"early 14c., ""unrestrained behavior,"" from wild (adj.) + -ness. Late 14c. as ""frenzy;"" mid-15c. as ""undomesticated state.""","wild,-ness"
"(windmill_E, wind (n.1)_E, mill (n.)_E)",windmill,"c. 1300, from wind (n.1) + mill (n.). Similar formation in German Windmühle, Dutch windmolen, French moulin à vent. Verb meaning ""to swing the arms wildly"" is recorded from 1888. Related: Windmilled; windmilling.","wind,mill,Windmühle,windmolen,moulin à vent,Windmilled,windmilling"
"(wherewithal_E, where_E, withal_E)",wherewithal,"""means by which,"" 1530s, from where + withal. The noun is first recorded 1809.","where,withal"
"(warlord_E, war (n.)_E, lord (n.)_E)",warlord,"also war-lord, 1856, from war (n.) + lord (n.). Often a translation of German Kriegsherr or Chinese junfa.","war-lord,war,lord,Kriegsherr,junfa"
"(weatherman_E, weather (n.)_E, man (n.)_E)",weatherman,"""one who observes the weather,"" 1869, from weather (n.) + man (n.). Weather-prophet is from 1784 as ""barometer;"" 1827 as ""person who predicts the weather.""
Clerk of the Weather, I deploreThat all thy greatness is no more,As should a gentle bard;That Nature, or that Nature's lawWhen you politely called for thaw,Gave frost was rather hard.[from ""Consolatory Address to Mr. Murphy, the Weather Prophet,"" Colburn's New Monthly Magazine, 1838]","weather,man,Weather-prophet,frost,hard"
"(whiffle_E, whiff_href)",whiffle,"""flicker or flutter as if blown by the wind,"" 1660s; see whiff. The noun meaning ""something light or insignificant"" (1670s) is preserved in whiffle-ball (1931).","whiff,whiffle-ball"
(Waring_E),Waring,"brand name of a type of food blender, 1944, manufactured by Waring Products Corp., N.Y., U.S.",Waring
"(weltschmerz_E, Weltschmerz_Ger);(Weltschmerz_Ger, Welt_Ger, Schmerz_Ger)",weltschmerz,"""pessimism about life,"" 1872 (1863 as a German word in English), from German Weltschmerz, coined 1810 by Jean Paul Richter, from Welt ""world"" (see world) + Schmerz ""pain"" (see smart (n.)). Popularized in German by Heine.","Weltschmerz,Welt,world,Schmerz,smart"
(wl-_E),wl-,"an initial sound cluster in words in Old English and early Middle English; among the Old English words were wlanc ""stately, splendid;"" wlætung ""nausea;"" wlenc ""pride, arrogance"" (Middle English wlonk); wlite ""brightness, beauty, splendor;"" wlitig"" radiant, physically beautiful (Middle English wliti).","wlanc,wlætung,wlenc,wlonk,wlite,wlitig,wliti"
"(Warfarin_E, WARF_E, -arin_E);(WARF_E, Wisconsin Alumni Research Foundation_E)",Warfarin,"1950, from WARF, acronym from Wisconsin Alumni Research Foundation + -arin, from Coumarin. The organization describes itself as ""an independent, nonprofit foundation chartered to support research at the U[niversity of] W[isconsin]-Madison and the designated technology transfer organization for the university.""","WARF,Wisconsin Alumni Research Foundation,-arin,Coumarin"
"(woodcock_E, wuducoc_OE);(wuducoc_OE, wudu_E, coc_E)",woodcock,"Old English wuducoc, from wudu (see wood (n.)) + coc (see cock (n.1)).","wuducoc,,wudu,wood,coc,cock"
"(wimpy_E, wimp (n.)_E, -y (2)_E)",wimpy,"1967, from wimp (n.) + -y (2). Related: Wimpiness.","wimp,-y,Wimpiness"
"(whatnot_E, what_E, not_E)",whatnot,"also what-not, 1530s, ""anything,"" from what + not. Elliptical for ""what may I not say,"" implying ""everything else."" As the name of a furniture item, first attested 1808, so named for the objects it is meant to hold.","what-not,what,not"
"(witless_E, wit (n.)_E, -less_E)",witless,"Old English witleas ""foolish, mad;"" see wit (n.) + -less. Phrase scared witless attested from 1975. Related: Witlessly; witlessness.","witleas,wit,-less,scared witless,Witlessly,witlessness"
"(wavy_E, wave (n.)_E, -y (2)_E)",wavy,"1580s, from wave (n.) + -y (2). Related: Waviness.","wave,-y,Waviness"
"(well-done_E, well (adv.)_E, done_E)",well-done,"c. 1200, ""wise, prudent,"" from well (adv.) + done. Meaning ""thoroughly cooked,"" in reference to meat, is attested from 1747. Well done! as an exclamation of approval is recorded from mid-15c.","well,done,Well done!"
(white hope_E),white hope,"""person or thing that people hope will be very successful in the near future,"" 1911, originally in U.S. sporting use in reference to the quest for a white man capable of beating champion pugilist Jack Johnson.",
"(wand_E, vondr_ONor);(vondr_ONor, *wend-_PGer)",wand,"c. 1200, from Old Norse vondr ""rod, switch"" (cognate with Gothic wandus ""rod,"" Middle Swedish vander), from Proto-Germanic *wend- ""to turn,"" see wind (v.1)). The notion is of a bending, flexible stick. Compare cognate Old Norse veggr, Old English wag ""wall,"" Old Saxon, Dutch wand, Old High German want, German Wand ""wall,"" originally ""wickerwork for making walls,"" or ""wall made of wattle-work"" (an insight into early Germanic domestic architecture). Magic wand is attested from c. 1400 and shows the etymological sense of ""suppleness"" already had been lost.","vondr,wandus,vander,*wend-,wind,veggr,wag,wand,want,Wand,Magic wand"
"(wasteful_E, waste (n.)_E, -ful_e)",wasteful,"early 14c., ""destructive,"" from waste (n.) + -ful. Meaning ""lavish"" is from mid-15c. Related: Wastefully; wastefulness.","waste,-ful,Wastefully,wastefulness"
"(Wobbly (n.)_E, Industrial Workers of the World_E)",Wobbly (n.),"1914, member of Industrial Workers of the World (I.W.W.). Probably some sort of elaboration of the W aspect of the acronym.","Industrial Workers of the World,W"
"(wobbly (adj.)_E, wobble (v.)_E, -ly (1)_E)",wobbly (adj.),"1849, wabbly; see wobble (v.) + -ly (1). Form with -o- is from 1851. Related: Wobbliness.","wabbly,wobble,-ly,-o-,Wobbliness"
"(wetback_E, wet (adj.)_E, back (n.)_e)",wetback,"""illegal Mexican immigrant to the U.S.,"" c. 1924, from wet (adj.) + back (n.); from notion of wading the Rio Grande.","wet,back"
"(workaround_E, work (v.)_e, around (adv.)_E)",workaround,"also work-around, by 1987, from the verbal phrase, from work (v.) + around (adv.).","work-around,work,around"
"(wipeout_E, wipe (v.)_E, out_E)",wipeout,"also wipe-out, 1962, American English, surfer slang, from wipe (v.) + out. Sense of ""destruction, defeat, a killing"" is recorded from 1968. Verbal phrase wipe out ""destroy, obliterate"" is from 1610s.","wipe-out,wipe,out,wipe out"
"(worthy_E, worth (n.)_E, -y (2)_E)",worthy,"mid-13c., ""having merit,"" from worth (n.) + -y (2). Old English had weorþful in this sense. Attested from late 14c. as a noun meaning ""person of merit"" (especially in Nine Worthies, famous men of history and legend: Joshua, David, Judas Maccabæus, Hector, Alexander, Julius Cæsar, Arthur, Charlemagne, Godfrey of Bouillon -- three Jews, three gentiles, three Christians). Related: Worthily; worthiness.","worth,-y,weorþful,Nine Worthies,Worthily,worthiness"
(wow (interj.)_E),wow (interj.),"1510s, Scottish, a natural expression of amazement. ""This old interjection had a new popularity in the early 1900s and again during the 1960s and later"" [DAS].",
"(wow (v.)_E, wow (interj.)_E)",wow (v.),"""overwhelm with delight or amazement,"" 1924, American English slang, from wow (interj.). Related: Wowed; wowing. Used as a noun meaning ""unqualified success"" since 1920.","wow,Wowed,wowing"
"(wade_E, wadan_OE);(wadan_OE, *wadanan_PGer);(*wadanan_PGer, *wadh- (2)_PIE)",wade,"Old English wadan ""to go forward, proceed, move, stride, advance"" (the modern sense perhaps represented in oferwaden ""wade across""), from Proto-Germanic *wadanan (source also of Old Norse vaða, Danish vade, Old Frisian wada, Dutch waden, Old High German watan, German waten ""to wade""), from PIE root *wadh- (2) ""to go,"" found only in Germanic and Latin (source also of Latin vadere ""to go,"" vadum ""shoal, ford,"" vadare ""to wade""). Italian guado, French gué ""ford"" are Germanic loan-words.
Specifically ""walk into or through water"" (or any substance which impedes the free motion of limbs) c. 1200. Originally a strong verb (past tense wod, past participle wad); weak since 16c. Figurative sense of ""to go into"" (action, battle, etc.) is recorded from late 14c. Related: Waded; wading.
Forbade to wade through slaughter to a throne,And shut the gates of mercy on mankind,[Gray, ""Elegy Written in a Country Churchyard""]","wadan,oferwaden,*wadanan,vaða,vade,wada,waden,watan,waten,*wadh-,vadere,vadum,vadare,guado,gué,wod,wad,Waded,wading"
"(warm-up_E, warm up_E)",warm-up,"""act or practice of exercising or practicing before an activity,"" 1915; earlier in literal sense, ""a heating"" (of something), 1878, from verbal phrase warm up, which is from 1868 in the sense ""exercise before an activity."" Earlier in reference to heating food (1848), and earliest (c. 1400), figuratively, of persons. In reference to appliances, motors, etc., attested from 1947.",warm up
(Wankel_E),Wankel,"type of rotary internal combustion engine, 1961, from name of German engineer Felix Wankel (1902-1988).",Wankel
"(well-ordered_E, well (adv.)_E, order (v.)_E)",well-ordered,"c. 1600, from well (adv.) + past participle of order (v.).","well,order"
"(whereupon_E, where_E, upon_E)",whereupon,"c. 1300, from where + upon.","where,upon"
"(willow_E, welig_OE);(welig_OE, *wel-_PGer);(*wel-_PGer, *wel- (3)_LPIE)",willow,"Old English welig ""willow,"" from Proto-Germanic *wel- (source also of Old Saxon wilgia, Middle Dutch wilghe, Dutch wilg), probably from PIE root *wel- (3) ""to turn, revolve,"" with derivatives referring to curved, enclosing objects. The change in form to -ow (14c.) paralleled that of bellow and fellow. The more typical Germanic word for the tree is represented by withy.","welig,*wel-,wilgia,wilghe,wilg,*wel-,-ow,bellow,fellow,withy"
"(well-off_E, well (adv.)_E, off_E)",well-off,"1733, ""comfortable,""  from well (adv.) + off. Meaning ""prosperous, not poor"" is recorded from 1849.","well,off"
"(whammy_E, double whammy_E)",whammy,"often double whammy, ""hex, evil eye,"" 1932, of unknown origin, popularized 1941 in Al Capp's comic strip ""Li'l Abner,"" where it was the specialty of Evil-Eye Fleegle.",double whammy
"(waitress_E, waiter_E, -ess_E)",waitress,"""woman who waits tables at a restaurant,"" 1834, from waiter + -ess.","waiter,-ess"
"(Wallach_E, Wallache_Ger);(Wallache_Ger, Vlachu_ChuSla);(Vlachu_ChuSla, wahl_OHGer)",Wallach,"also Walach, one of a Rumanian people, 1786, from German Wallache, from Old Church Slavonic Vlachu, from Old High German wahl ""foreigner, one speaking a foreign language"" (see Vlach). Related: Wallachia; Wallachian.","Walach,Wallache,Vlachu,wahl,Vlach,Wallachia,Wallachian"
"(whistleblower_E, whistle (n.)_E)",whistleblower,"also whistle-blower, 1963 in the figurative sense, American English, from whistle (n.) as something sounded in an alert + agent noun from blow (v.1).","whistle-blower,whistle,blow"
"(windowsill_E, window (n.)_E, sill (n.)_E)",windowsill,"also window-sill, 1703, from window (n.) + sill (n.).","window-sill,window,sill"
"(wetland_E, wet (adj.)_E, land (n.)_E)",wetland,"1743, from wet (adj.) + land (n.).","wet,land"
"(Walker_E, walk (v.)_E)",Walker,"surname, early 13c., probably an agent noun from walk (v.) in the sense ""to full cloth."" preserves the cloth-fulling sense (walker with this meaning is attested from c. 1300). ""Walker"" or ""Hookey Walker"" was a common slang retort of incredulity in early and mid-19c. London, for which ""Various problematic explanations have been offered"" [Century Dictionary].
""Is it?"" said Scrooge. ""Go and buy it.""""Walk-ER!"" exclaimed the boy.""No, no,"" said Scrooge. ""I am in earnest"" (etc.)[Dickens, ""A Christmas Carol""]","walk,walker,""Walker"",""Hookey Walker"""
(wonky_E),wonky,"""shaky, groggy, unstable,"" 1919, of unknown origin. German prefix wankel- has a similar sense. Perhaps from surviving dialectal words based on Old English wancol ""shaky, tottering"" (see wench (n.)).","wankel-,wancol,wench"
"(week_e, wucu_OE/wice_OE);(wucu_OE/wice_OE, *wikō(n)-_PGer);(*wikō(n)-_PGer, *weik- (2)_PIE)",week,"Old English wucu, wice, etc., from Proto-Germanic *wikō(n)- (source also of Old Norse vika, Old Frisian wike, Middle Dutch weke, Old High German wecha, German woche), probably originally with the sense of ""a turning"" or ""succession"" (compare Gothic wikon ""in the course of,"" Old Norse vika ""sea-mile,"" originally ""change of oar,"" Old English wican ""yield, give way""), from PIE root *weik- (2) ""to bend, to wind."" The vowel sound seems to have been uncertain in Old and Middle English and -e-, -i-, -o-, -u-, -y-, and various diphthongs are attested for it.
""Meaning primarily 'change, alteration,' the word may once have denoted some earlier time division, such as the 'change of moon, half month,' ... but there is no positive evidence of this"" [Buck]. No evidence of a native Germanic week before contact with the Romans. The seven-day week is ancient, probably originating from the 28-day lunar cycle, divisible into four periods of seven day, at the end of each of which the moon enters a new phase. Reinforced during the spread of Christianity by the ancient Jewish seven-day week.
As a Roman astrological convention it was borrowed by other European peoples; the Germanic tribes substituting their own deities for those of the Romans, without regard to planets. The Coligny calendar suggests a Celtic division of the month into halves; the regular Greek division of the month was into three decades; and the Romans also had a market week of nine days. Phrase a week, as in eight days a week recorded by 1540s; see a- (1).
Greek planetary names [for the days of the week] ... are attested for the early centuries of our era, but their use was apparently restricted to certain circles; at any rate they never became popular. In Rome, on the other hand, the planetary names became the established popular terms, too strongly intrenched to be displaced by the eccl[esiastical] names, and spreading through most of western Europe. [Carl Darling Buck, ""A Dictionary of Selected Synonyms in the Principal Indo-European Languages,"" 1949]","wucu,wice,*wikō(n)-,vika,wike,weke,wecha,woche,wikon,vika,wican,*weik-,-e-,-i-,-o-,-u-,-y-,a week,eight days a week,a-"
"(womankind_E, woman (n.)_E, kind (n.)_E)",womankind,"late 14c., from woman (n.) + kind (n.).","woman,kind"
"(water-ice_E, water (n.1)_E, ice (n.)_E)",water-ice,"""sugared water, flavored and frozen,"" 1818, from water (n.1) + ice (n.).","water,ice"
"(Whitsunday_E, Hwita Sunnandæg_OE)",Whitsunday,"""Pentecost,"" late Old English Hwita Sunnandæg ""white Sunday"" (see white (adj.)); possibly so called from the white baptismal robes worn by newly baptized Christians on this day. Related: Whitsuntide.","Hwita Sunnandæg,white,Whitsuntide"
"(whereas_E, where_E, as_E)",whereas,"mid-14c., ""where;"" early 15c. as a conjunction, ""in consideration of the fact that,"" from where + as.","where,as"
"(withershins_E, widdershins_href)",withershins,see widdershins.,widdershins
"(work (n.)_E, weorc_OE/worc_OE);(weorc_OE/worc_OE, *werka-_PGer);(*werka-_PGer, *werg-o-_PIE);(*werg-o-_PIE, *werg-_PIE)",work (n.),"Old English weorc, worc ""something done, discreet act performed by someone, action (whether voluntary or required), proceeding, business; that which is made or manufactured, products of labor,"" also ""physical labor, toil; skilled trade, craft, or occupation; opportunity of expending labor in some useful or remunerative way;"" also ""military fortification,"" from Proto-Germanic *werka- ""work"" (source also of Old Saxon, Old Frisian, Dutch werk, Old Norse verk, Middle Dutch warc, Old High German werah, German Werk, Gothic gawaurki), from PIE *werg-o-, suffixed form of root *werg- ""to do.""
Meaning ""physical effort, exertion"" is from c. 1200; meaning ""scholarly labor"" or its productions is from c. 1200; meaning ""artistic labor"" or its productions is from c. 1200. Meaning ""labor as a measurable commodity"" is from c. 1300. Meaning ""embroidery, stitchery, needlepoint"" is from late 14c.
Work of art attested by 1774 as ""artistic creation,"" earlier (1728) ""artifice, production of humans (as opposed to nature)."" Work ethic recorded from 1959. To be out of work ""unemployed"" is from 1590s. To make clean work of is from c. 1300; to make short work of is from 1640s.
Proverbial expression many hands make light work is from c. 1300. To have (one's) work cut out for one is from 1610s; to have it prepared and prescribed, hence, to have all one can handle. Work in progress is from 1930 in a general sense, earlier as a specific term in accountancy and parliamentary procedure.
Work is less boring than amusing oneself. [Baudelaire, ""Mon Coeur mis a nu,"" 1862]Work and play are words used to describe the same thing under differing conditions. [attributed to Mark Twain]","weorc,worc,*werka-,werk,verk,warc,werah,Werk,gawaurki,*werg-o-,*werg-,Work of art,Work ethic,out of work,make clean work of,make short work of,many hands make light work,have (one's) work cut out for,Work in progress,""Mon Coeur mis a nu,"""
"(work (v.)_E, wyrcan_OE, wircan_OE);(wyrcan_OE, *wurkjanan_PGer);(wircan_OE, *werkan_PGer)",work (v.),"a fusion of Old English wyrcan (past tense worhte, past participle geworht) ""prepare, perform, do, make, construct, produce; strive after"" (from Proto-Germanic *wurkjanan); and Old English wircan (Mercian) ""to operate, function, set in motion,"" a secondary verb formed relatively late from Proto-Germanic noun *werkan (see work (n.)).
Sense of ""perform physical labor"" was in Old English, as was sense ""ply one's trade"" and ""exert creative power, be a creator."" Transitive sense ""manipulate (physical substances) into a desired state or form"" was in Old English. Meaning ""have the expected or desired effect"" is from late 14c. In Middle English also ""perform sexually"" (mid-13c.). Related: Worked (15c.); working. To work up ""excite"" is from c. 1600. To work over ""beat up, thrash"" is from 1927. To work against ""attempt to subvert"" is from late 14c.","wyrcan,worhte,geworht,*wurkjanan,wircan,*werkan,work,Worked,working,work up,work over,work against"
"(whey_E, hwæg_OE);(hwæg_OE, *hwaja-_PGer)",whey,"Old English hwæg ""whey,"" from Proto-Germanic *hwaja- (source also of Middle Dutch wey, Dutch wei), of unknown origin.","hwæg,*hwaja-,wey,wei"
"(wallah_E, -wala_Hin)",wallah,"also walla, ""person employed (in some specified business),"" Anglo-Indian, from Hindi -wala, suffix forming adjectives with the sense ""pertaining to, connected with;"" the functional equivalent of English -er (1). Europeans took it to mean ""man, fellow"" and began using it as a word.","walla,-wala,-er"
"(well-rounded_E, well (adv.)_E, round (v.)_E)",well-rounded,"1764, ""symmetrically proportioned, complete in all parts,"" from well (adv.) + past participle of round (v.). Figurative sense is from mid-19c.","well,round"
"(warrantee_E, warrant (v.)_E, -ee_E)",warrantee,"""person to whom a warranty is given,"" 1706, from warrant (v.) + -ee.","warrant,-ee"
"(wound (n.)_E, wund_OE);(wund_OE, *wuntho_PGer);(*wuntho_PGer, *wen- (2)_PIE)",wound (n.),"Old English wund ""hurt, injury, ulcer,"" from Proto-Germanic *wuntho (source also of Old Saxon wunda, Old Norse und, Old Frisian wunde, Old High German wunta, German wunde ""wound""), perhaps from PIE root *wen- (2) ""to beat, wound.""","wund,*wuntho,wunda,und,wunde,wunta,wunde,*wen-"
"(wound (v.)_E, wound (n.)_href)",wound (v.),"Old English wundian ""to wound,"" from the source of wound (n.). Cognate with Old Frisian wundia, Middle Dutch and Dutch wonden, Old High German wunton, German verwunden, Gothic gawundon. Figurative use, of feelings, etc., from c. 1200. Related: Wounded; wounding.","wundian,wound,wundia,wonden,wunton,verwunden,gawundon,Wounded,wounding"
"(worth (adj.)_E, weorþ_OE);(weorþ_OE, *wertha-_PGer);(*wertha-_PGer, *wert-_PIE);(*wert-_PIE, *wer- (2)_PIEPIE)",worth (adj.),"Old English weorþ ""significant, valuable, of value; valued, appreciated, highly thought-of, deserving, meriting; honorable, noble, of high rank; suitable for, proper, fit, capable,"" from Proto-Germanic *wertha- ""toward, opposite,"" hence ""equivalent, worth"" (source also of Old Frisian werth, Old Norse verðr, Dutch waard, Old High German werd, German wert, Gothic wairþs ""worth, worthy""), which is of uncertain origin. Perhaps a derivative of PIE *wert- ""to turn, wind,"" from root *wer- (2) ""to turn, bend."" Old Church Slavonic vredu, Lithuanian vertas ""worth"" are considered to be Germanic loan-words. From c. 1200 as ""equivalent to, of the value of, valued at; having importance equal to; equal in power to.""","weorþ,*wertha-,werth,verðr,waard,werd,wert,wairþs,*wert-,*wer-,vredu,vertas"
"(worth (v.)_E, woe worth the day_E);(woe worth the day_E, weorðan_OE);(weorðan_OE, *werthan_PGer);(*werthan_PGer, *wer- (2)_PIEPIE)",worth (v.),"""to come to be,"" now chiefly, if not solely, in the archaic expression woe worth the day, present subjunctive of Old English weorðan ""to become, be, to befall,"" from Proto-Germanic *werthan ""to become"" (source also of Old Saxon, Old Dutch werthan, Old Norse verða, Old Frisian wertha, Old High German werdan, German werden, Gothic wairþan ""to become""), literally ""to turn into,"" from PIE root *wer- (2) ""to turn, bend.""","woe worth the day,weorðan,*werthan,werthan,verða,wertha,werdan,werden,wairþan,*wer-"
"(worth (n.)_E, worth (adj.)_E)",worth (n.),"Old English weorþ ""value, price, price paid; worth, worthiness, merit; equivalent value amount, monetary value,"" from worth (adj.). From c. 1200 as ""excellence, nobility.""","weorþ,worth"
"(wool-gathering_E, wool_E, gather_E)",wool-gathering,"also woolgathering, 1550s, ""indulging in wandering fancies and purposeless thinking,"" from the literal meaning ""gathering fragments of wool torn from sheep by bushes, etc.,"" an activity that necessitates much wandering to little purpose. See wool + gather.","woolgathering,wool,gather"
"(workplace_E, work (n.)_E, place (n.)_E)",workplace,"1828, a hybrid from work (n.) + place (n.).","work,place"
"(weaponry_E, weapon_E, -ry_E)",weaponry,"1812, from weapon + -ry.","weapon,-ry"
(whole nine yards_E),whole nine yards,"by 1970, of unknown origin; perhaps arbitrary (see cloud nine). Among the guesses that have been made without real evidence: concrete mixer trucks were said to have dispensed in this amount. Or the yard might be the word used in the slang sense of ""one hundred dollars."" Several similar phrases meaning ""everything"" arose in the 1940s (whole ball of wax, which is likewise of obscure origin, whole schmear); older examples include whole hog (see hog (n.)) and whole shooting match (1896); whole shebang (1895).","cloud nine,yard,whole ball of wax,whole schmear,whole hog,hog,whole shooting match,whole shebang"
"(weekend_E, week_E, end (n.)_E)",weekend,"also week-end, 1630s, from week + end (n.). Originally a northern word (referring to the period from Saturday noon to Monday morning); it became general after 1878. As an adjective, ""only on weekends,"" it is recorded from 1935. Long weekend attested from 1900; in reference to Great Britain in the period between the world wars, 1944.","week-end,week,end,Long weekend"
(Woolworth_E),Woolworth,"also Woolworth's, often in reference to inexpensive merchandise, from the F.W. Woolworth & Company chain of ""five-and-ten-cent stores,"" begun 1879 in Lancaster, Pennsylvania.",Woolworth's
"(widowhood_E, widow (n.)_E, -hood_E)",widowhood,"c. 1200, from widow (n.) + -hood. Modifying or replacing Old English wuduwanhad ""state of a woman who has no husband.""","widow,-hood,wuduwanhad"
"(Woden_E, Odin_href)",Woden,"Anglo-Saxon god, Old English, see Odin.",Odin
"(woof (n.1)_E, owef_OE);(owef_OE, o-_E, wefan_E)",woof (n.1),"""weft, texture, fabric,"" Old English owef, from o- ""on"" + wefan ""to weave"" (see weave). With unetymological w- by influence of warp or weft.","owef,o-,wefan,weave,w-,warp,weft"
(woof (n.2)_E),woof (n.2),"dog bark noise, first recorded 1804, echoic.",
"(warder_E, wardere_AF/wardour_AF);(wardere_AF/wardour_AF, warder_ONF);(warder_ONF, *wardon_Fran);(*wardon_Fran, *wardon_PGer);(*wardon_PGer, *war-o-_PIE);(*war-o-_PIE, *wer- (3)_GPIE)",warder,"c. 1400, ""guardian of an entrance,"" from Anglo-French wardere, wardour ""guardian, keeper, custodian"" (Old French gardeor), agent noun from Old North French warder ""to guard, keep, maintain, uphold"" (Old French garder), from Frankish *wardon, from Proto-Germanic *wardon ""to guard,"" from PIE *war-o-, suffixed form of root *wer- (3) ""perceive, watch out for.""","wardere,wardour,gardeor,warder,garder,*wardon,*wardon,*war-o-,*wer-"
"(waiter_E, wait (v.)_E)",waiter,"late 14c., ""attendant, watchman,"" agent noun from wait (v.). Sense of ""attendant at a meal, servant who waits at tables"" is from late 15c., originally in reference to household servants; in reference to inns, eating houses, etc., it is attested from 1660s.",wait
"(waggish_E, wag (n.)_E, -ish_E)",waggish,"""willing to make a fool of oneself, and fond of doing so to others,"" 1580s, from wag (n.) + -ish. Related: Waggishly; waggishness.","wag,-ish,Waggishly,waggishness"
